"n","x","y","id"
"Rangaunu Harbour",173.1374,-34.9163,0
"Kaitaia East",173.2641,-35.1038,1
"Kaitaia West",173.2672,-35.1218,2
"North Cape",172.7755,-34.5055,3
"Karikari Peninsula",173.3787,-34.9953,4
"Tangonge",173.2186,-35.1231,5
"Rangitihi",173.3112,-35.1279,6
"Oruru-Parapara",173.4613,-35.0333,7
"Taumarumaru",173.5077,-34.9967,8
"Kerikeri Central",173.951,-35.2251,9
"Kaikohe",173.7977,-35.4079,10
"Ahipara",173.1609,-35.1595,11
"Waipapa",173.9184,-35.2099,12
"Kawakawa",174.0758,-35.379,13
"Whangarei Central",174.3243,-35.7285,14
"Taemaro-Oruaiti",173.5789,-35.0254,15
"Whakarara",173.8499,-35.0629,16
"Inlets Far North District",174.1582,-35.2185,17
"Kaeo",173.7433,-35.1541,18
"Kohukohu-Broadwood",173.4636,-35.2901,19
"Hokianga South",173.4844,-35.468,20
"Omahuta Forest-Horeke",173.6178,-35.2883,21
"Okaihau",173.7908,-35.2866,22
"Whakapaku",173.663,-35.0499,23
"Lake Manuwai-Kapiro",173.8654,-35.1827,24
"Puketotara",173.9033,-35.2518,25
"Riverview",173.9624,-35.2081,26
"Kerikeri South",173.9578,-35.2464,27
"Puketona-Waitangi",174.001,-35.2799,28
"Ngapuhi",173.7653,-35.4228,29
"Waima Forest",173.6295,-35.4872,30
"Waipoua Forest",173.5113,-35.5813,31
"Rangitane-Purerua",173.9391,-35.1342,32
"Paihia",174.0931,-35.2861,33
"Opua (Far North District)",174.1,-35.3227,34
"Ohaeawai-Waimate North",173.8599,-35.3352,35
"Haruru",174.0592,-35.2793,36
"Mataraua Forest",173.8054,-35.5472,37
"Moerewa",174.0252,-35.3837,38
"Queen Street",174.7652,-36.8477,39
"Manurewa East",174.9061,-37.0258,40
"Russell",174.1245,-35.2565,41
"Russell Peninsula",174.1623,-35.2868,42
"Pakaraka",173.9845,-35.3675,43
"Russell Forest-Rawhiti",174.2261,-35.3688,44
"Maromaku",174.1413,-35.4783,45
"Matawaia-Taumarere",173.9527,-35.4941,46
"Whangaruru",174.335,-35.4899,47
"Morningside (Whangarei District)",174.3201,-35.7364,48
"Port-Limeburners",174.3308,-35.7493,49
"Mangakahia-Hukerenui",174.0023,-35.653,50
"Kamo Central",174.3049,-35.6849,51
"Matarau",174.2099,-35.6673,52
"Hikurangi",174.2872,-35.5945,53
"Kauri",174.2867,-35.6294,54
"Maungatapere",174.1547,-35.7621,55
"Kamo West",174.2951,-35.6701,56
"Tikipunga North",174.323,-35.6809,57
"Kensington (Whangarei District)",174.3083,-35.7131,58
"Maunu-Horahora",174.2904,-35.7376,59
"Tarewa",174.309,-35.7418,60
"Dargaville",173.8652,-35.9392,61
"Kiripaka",174.4029,-35.6467,62
"Whau Valley",174.2958,-35.7052,63
"Pukenui",174.255,-35.7464,64
"Tikipunga South",174.3317,-35.6946,65
"Mairtown",174.3243,-35.7045,66
"Woodhill-Vinetown",174.3096,-35.727,67
"Marsden Bay",174.4869,-35.8434,68
"Granfield Reserve",174.2951,-35.6902,69
"Abbey Caves-Glenbervie",174.3612,-35.704,70
"Ruakaka",174.4573,-35.8787,71
"Matapouri-Tutukaka",174.478,-35.5979,72
"Otangarei",174.3177,-35.6933,73
"Kamo East",174.3098,-35.6775,74
"Raumanga",174.299,-35.7497,75
"Otaika-Portland",174.2858,-35.781,76
"Oakleigh-Mangapai",174.216,-35.8959,77
"Onerahi Park",174.3726,-35.7525,78
"Onerahi",174.3635,-35.7662,79
"Bream Bay",174.3839,-35.915,80
"Ngunguru",174.5147,-35.6246,81
"Auckland-University",174.7691,-36.8514,82
"Riverside",174.3396,-35.726,83
"Waipu",174.4508,-36.0333,84
"Parua Bay",174.4281,-35.76,85
"Bream Head",174.5359,-35.8191,86
"Sherwood Rise",174.3618,-35.7487,87
"Maungaturoto",174.3469,-36.1095,88
"Hilltop (Taupo District)",176.0992,-38.6998,89
"Mangawhai Heads",174.5841,-36.0944,90
"Mangawhai",174.5765,-36.1249,91
"Maungaru",173.9709,-35.877,92
"Ruawai-Matakohe",174.1465,-36.0848,93
"Kaipara Coastal",173.6512,-35.729,94
"Otamatea (Kaipara District)",174.3233,-36.2062,95
"Kaiwaka",174.4195,-36.2014,96
"Wellsford",174.5215,-36.2928,97
"Mangawhai Rural",174.5456,-36.1174,98
"Warkworth West",174.6516,-36.3889,99
"Warkworth East",174.6679,-36.4053,100
"Cape Rodney",174.6264,-36.2543,101
"North Harbour",174.715,-36.7463,102
"Kaipara Hills",174.4888,-36.4635,103
"Dome Valley-Matakana",174.6867,-36.341,104
"Puhoi Valley",174.6248,-36.4685,105
"Tawharanui Peninsula",174.7918,-36.366,106
"Snells Beach",174.7252,-36.4202,107
"Silverdale Central (Auckland)",174.6749,-36.624,108
"Albany Central",174.7048,-36.7282,109
"Takapuna West",174.7612,-36.7891,110
"Quay Street-Customs Street",174.7765,-36.846,111
"Okahukura Peninsula",174.4783,-36.3161,112
"Sandspit",174.6985,-36.3978,113
"Algies Bay-Scotts Landing",174.7461,-36.457,114
"Wairau Valley",174.7345,-36.7736,115
"Henderson Lincoln East",174.6341,-36.8559,116
"Wynyard-Viaduct",174.7579,-36.8433,117
"Shortland Street",174.7682,-36.8474,118
"Eden Terrace",174.7596,-36.8646,119
"Mount St John",174.7804,-36.8824,120
"Penrose",174.8226,-36.92,121
"Te Kuru",174.484,-36.6034,122
"Parakai",174.436,-36.6576,123
"Helensville Rural",174.4987,-36.6495,124
"Helensville",174.4543,-36.675,125
"Waikoukou Valley",174.5157,-36.7099,126
"Waimauku",174.4644,-36.7806,127
"Kumeu Rural West",174.5213,-36.7904,128
"Kumeu-Huapai",174.5429,-36.77,129
"Kumeu Rural East",174.5746,-36.7766,130
"Whenuapai",174.6214,-36.7916,131
"Albany South",174.7095,-36.7388,132
"Westgate Central",174.6058,-36.8146,133
"Henderson Valley",174.5692,-36.9064,134
"Henderson Lincoln South",174.6237,-36.8672,135
"Henderson Central",174.6293,-36.8897,136
"Rosebank Peninsula",174.6758,-36.8809,137
"Parnell West",174.778,-36.8568,138
"Newmarket",174.7771,-36.8685,139
"Ellerslie West",174.8061,-36.899,140
"Auckland Airport",174.774,-36.9891,141
"East Tamaki",174.8871,-36.9382,142
"Waitoki",174.5842,-36.6373,143
"Orewa South",174.6858,-36.5901,144
