"fid","tid","d","wtot","wcr","wpt","wac","etot","ecr","ept","eac"
62,70,7.4,6,0,0,0,54,36,18,0
65,70,2.9,12,6,0,0,24,24,0,0
75,70,7.6,12,9,0,0,0,0,0,0
67,70,5.3,6,0,0,0,0,0,0,0
54,70,10.7,9,9,0,0,0,0,0,0
87,70,5,9,6,0,0,0,0,0,0
56,70,7.1,6,0,0,0,0,0,0,0
52,70,14.3,9,6,0,0,0,0,0,0
2009,70,6.1,0,0,0,0,33,21,12,0
74,70,5.5,9,6,0,0,0,0,0,0
79,70,6.9,6,0,0,0,0,0,0,0
77,70,25,6,6,0,0,0,0,0,0
1935,1924,3,0,0,0,0,15,15,0,0
2134,1924,2.4,0,0,0,0,18,18,0,0
1905,1924,1.7,0,0,0,0,9,9,0,0
1907,1924,4.6,6,0,0,0,0,0,0,0
1892,1924,1.5,6,0,0,0,33,33,0,0
89,821,6.9,9,9,0,0,0,0,0,0
811,821,6.4,9,6,0,0,0,0,0,0
817,821,3.6,9,6,0,0,0,0,0,0
1669,1737,0.8,6,0,0,0,6,0,0,0
1686,1594,3.7,36,27,0,0,0,0,0,0
1689,1594,4.8,39,30,0,0,0,0,0,0
1712,1594,3.8,48,33,6,9,0,0,0,0
1631,1594,3.1,39,24,0,6,0,0,0,0
1768,1594,13.2,12,6,0,0,0,0,0,0
2119,1594,5.4,21,15,0,0,0,0,0,0
1662,1594,6.2,30,21,0,0,0,0,0,0
1563,1594,2,12,0,0,0,0,0,0,0
1690,1594,4.2,24,15,0,0,0,0,0,0
1717,1594,2.5,21,15,0,0,0,0,0,0
1620,1594,19.8,12,12,0,0,0,0,0,0
1659,1594,24.3,21,15,0,0,0,0,0,0
1715,1594,5.5,21,15,0,0,0,0,0,0
1725,1594,1.1,15,12,0,0,0,0,0,0
1698,1594,4.6,24,15,0,0,0,0,0,0
1751,1594,14.1,6,6,0,0,0,0,0,0
1649,1594,10.6,15,9,0,0,0,0,0,0
1668,1594,3.8,18,9,0,0,0,0,0,0
1678,1594,6.4,9,9,0,0,0,0,0,0
1700,1594,3.4,12,6,0,0,0,0,0,0
1582,1594,26.3,12,9,0,0,0,0,0,0
1770,1594,14.7,21,15,0,0,0,0,0,0
1716,1594,7.9,21,15,0,0,0,0,0,0
1667,1594,3.8,24,18,0,0,0,0,0,0
1664,1594,5.1,18,12,0,0,0,0,0,0
1726,1594,9.8,48,45,0,0,0,0,0,0
1746,1594,11,15,12,0,0,0,0,0,0
1739,1594,8.7,24,18,0,0,0,0,0,0
1559,1594,33,9,6,0,0,0,0,0,0
1710,1594,9.7,24,15,0,0,0,0,0,0
1614,1594,12.5,12,9,0,0,0,0,0,0
1723,1594,4.8,27,21,0,0,0,0,0,0
1735,1594,3.9,6,0,0,0,0,0,0,0
1621,1594,6.8,18,15,0,0,0,0,0,0
1622,1594,5.4,24,12,0,0,0,0,0,0
1606,1594,10.4,21,12,0,0,0,0,0,0
1644,1594,6.8,36,27,0,0,0,0,0,0
1626,1594,4.8,9,6,0,0,0,0,0,0
1741,1594,4.9,27,15,0,0,0,0,0,0
1742,1594,9.6,24,21,0,0,0,0,0,0
1727,1594,5.7,21,15,0,0,0,0,0,0
1721,1594,9.9,24,15,0,0,0,0,0,0
1577,1594,8.4,21,15,0,0,0,0,0,0
1707,1594,7.6,72,69,0,0,0,0,0,0
1718,1594,4.6,21,15,0,0,0,0,0,0
